step,wins,draws,losses,avg_moves,epsilon
10000,1282,4436,4282,7.85,0.3679
20000,3662,5085,1253,8.12,0.1353
30000,4610,4923,467,8.1,0.1
40000,4846,4723,431,8.06,0.1
50000,4424,5093,483,8.14,0.1
60000,4990,4562,448,8.03,0.1
70000,6234,3259,507,7.72,0.1
80000,6461,3012,527,7.66,0.1
90000,6634,2873,493,7.64,0.1
100000,6173,3344,483,7.77,0.1
