step,wins,draws,losses,avg_moves,epsilon
10000,628,7594,1778,8.43,0.1
20000,1109,8176,715,8.6,0.1
30000,4439,4637,924,7.88,0.1
40000,5268,3692,1040,7.69,0.1
50000,5203,3813,984,7.72,0.1
60000,4841,4152,1007,7.78,0.1
70000,5420,3579,1001,7.67,0.1
80000,6403,2568,1029,7.47,0.1
90000,5693,3269,1038,7.61,0.1
100000,6150,2782,1068,7.51,0.1
