step,wins,draws,losses,avg_moves,epsilon
10000,490,8744,766,8.75,0.1
20000,2809,6780,411,8.37,0.1
30000,3278,6338,384,8.28,0.1
40000,3741,5816,443,8.18,0.1
50000,3333,6183,484,8.25,0.1
60000,3773,5759,468,8.16,0.1
70000,3815,5740,445,8.16,0.1
80000,3666,5908,426,8.19,0.1
90000,3520,6026,454,8.22,0.1
100000,4083,5472,445,8.1,0.1
