step,wins,draws,losses,avg_moves,epsilon
10000,114,1481,8405,6.75,0.99
20000,117,1382,8501,6.7,0.99
30000,109,1472,8419,6.73,0.99
40000,118,1478,8404,6.73,0.99
50000,131,1440,8429,6.74,0.99
60000,136,1469,8395,6.73,0.99
70000,131,1480,8389,6.74,0.99
80000,113,1489,8398,6.75,0.99
90000,114,1451,8435,6.73,0.99
100000,120,1453,8427,6.74,0.99
