step,wins,draws,losses,avg_moves,epsilon
10000,109,1490,8401,6.74,0.99
20000,139,1478,8383,6.74,0.99
30000,135,1514,8351,6.75,0.99
40000,130,1450,8420,6.73,0.99
50000,123,1514,8363,6.75,0.99
60000,141,1497,8362,6.76,0.99
70000,134,1463,8403,6.74,0.99
80000,125,1524,8351,6.75,0.99
90000,112,1528,8360,6.76,0.99
100000,135,1521,8344,6.76,0.99
