step,wins,draws,losses,avg_moves,epsilon
10000,918,2831,6251,0.0,0.6005
20000,1627,3307,5066,0.0,0.3642
30000,2204,3544,4252,0.0,0.2209
40000,2649,3416,3935,0.0,0.134
50000,2877,3406,3717,0.0,0.1
60000,2824,3511,3665,0.0,0.1
70000,2899,3514,3587,0.0,0.1
80000,2837,3493,3670,0.0,0.1
90000,2940,3422,3638,0.0,0.1
100000,2945,3504,3551,0.0,0.1
110000,2869,3491,3640,0.0,0.1
120000,2909,3486,3605,0.0,0.1
130000,2936,3374,3690,0.0,0.1
140000,2845,3485,3670,0.0,0.1
150000,2889,3498,3613,0.0,0.1
160000,2931,3406,3663,0.0,0.1
