step,wins,draws,losses,avg_moves,epsilon
10000,3930,4840,1230,7.9,0.1
20000,5266,3654,1080,7.68,0.1
30000,5748,3211,1041,7.6,0.1
40000,4806,4140,1054,7.78,0.1
50000,5603,3354,1043,7.63,0.1
60000,5205,3734,1061,7.7,0.1
70000,5504,3482,1014,7.65,0.1
80000,5892,3071,1037,7.57,0.1
90000,5504,3483,1013,7.65,0.1
100000,6362,2610,1028,7.48,0.1
