step,wins,draws,losses,avg_moves,epsilon
10000,2080,6664,1256,8.38,0.1
20000,2572,6705,723,8.41,0.1
30000,3995,5349,656,8.18,0.1
40000,4428,4918,654,8.09,0.1
50000,5140,4123,737,7.92,0.1
60000,5362,3897,741,7.86,0.1
70000,4797,4499,704,7.98,0.1
80000,4874,4391,735,7.95,0.1
90000,5820,3509,671,7.79,0.1
100000,5542,3778,680,7.84,0.1
