step,wins,draws,losses,avg_moves,epsilon
10000,465,4455,5080,7.64,0.3679
20000,1170,7413,1417,8.45,0.1353
30000,2893,6270,837,8.22,0.1
40000,2369,6902,729,8.35,0.1
50000,2592,6631,777,8.3,0.1
60000,2471,6703,826,8.31,0.1
70000,2542,6584,874,8.28,0.1
80000,5490,3473,1037,7.65,0.1
90000,5526,3561,913,7.67,0.1
100000,5734,3246,1020,7.6,0.1
