step,wins,draws,losses,avg_moves,epsilon
10000,948,2764,6288,0.0,0.6005
20000,1626,3271,5103,0.0,0.3642
30000,2186,3489,4325,0.0,0.2209
40000,2597,3482,3921,0.0,0.134
50000,2848,3447,3705,0.0,0.1
60000,2921,3405,3674,0.0,0.1
70000,2953,3415,3632,0.0,0.1
80000,2814,3510,3676,0.0,0.1
90000,2911,3470,3619,0.0,0.1
100000,2877,3509,3614,0.0,0.1
110000,2936,3482,3582,0.0,0.1
120000,2991,3436,3573,0.0,0.1
130000,2859,3499,3642,0.0,0.1
140000,2881,3509,3610,0.0,0.1
150000,2836,3531,3633,0.0,0.1
160000,2940,3529,3531,0.0,0.1
170000,2899,3497,3604,0.0,0.1
180000,2896,3474,3630,0.0,0.1
190000,2894,3466,3640,0.0,0.1
200000,2939,3405,3656,0.0,0.1
