step,wins,draws,losses,avg_moves,epsilon
10000,1532,7417,1051,8.49,0.1
20000,3865,5492,643,8.17,0.1
30000,5250,4067,683,7.94,0.1
40000,5269,3994,737,7.87,0.1
50000,5187,4106,707,7.89,0.1
60000,5911,3381,708,7.73,0.1
70000,5599,3711,690,7.79,0.1
80000,5297,4012,691,7.85,0.1
90000,5671,3667,662,7.77,0.1
100000,5341,4022,637,7.85,0.1
