step,wins,draws,losses,avg_moves,epsilon
10000,605,2445,6950,7.33,0.99
20000,655,2448,6897,7.32,0.99
30000,616,2484,6900,7.32,0.99
40000,624,2476,6900,7.33,0.99
50000,640,2483,6877,7.33,0.99
60000,681,2446,6873,7.34,0.99
70000,630,2473,6897,7.34,0.99
80000,622,2389,6989,7.31,0.99
90000,637,2419,6944,7.3,0.99
100000,574,2457,6969,7.32,0.99
