step,wins,draws,losses,avg_moves,epsilon
10000,127,1488,8385,6.74,0.99
20000,131,1483,8386,6.74,0.99
30000,132,1484,8384,6.75,0.99
40000,101,1496,8403,6.74,0.99
50000,101,1484,8415,6.74,0.99
60000,127,1460,8413,6.73,0.99
70000,129,1408,8463,6.73,0.99
80000,147,1522,8331,6.76,0.99
90000,133,1506,8361,6.75,0.99
100000,128,1443,8429,6.72,0.99
