step,wins,draws,losses,avg_moves,epsilon
10000,542,8345,1113,8.65,0.1
20000,2875,6590,535,8.33,0.1
30000,3644,5861,495,8.18,0.1
40000,3714,5850,436,8.18,0.1
50000,3527,6007,466,8.21,0.1
60000,3513,6066,421,8.22,0.1
70000,3904,5645,451,8.14,0.1
80000,3735,5748,517,8.16,0.1
90000,4000,5540,460,8.12,0.1
100000,4391,5183,426,8.04,0.1
