step,wins,draws,losses,avg_moves,epsilon
10000,130,1438,8432,6.73,0.99
20000,150,1467,8383,6.74,0.99
30000,115,1477,8408,6.74,0.99
40000,108,1508,8384,6.74,0.99
50000,145,1428,8427,6.74,0.99
60000,124,1467,8409,6.75,0.99
70000,144,1422,8434,6.71,0.99
80000,117,1401,8482,6.71,0.99
90000,130,1461,8409,6.73,0.99
100000,118,1509,8373,6.76,0.99
